Town,YearMonth,Rainfall_mm
Kapsabet,2024-04,260.9
Kapsabet,2024-05,134.5
Kapsabet,2024-06,100.3
Kapsabet,2024-07,191.8
Kapsabet,2024-08,177.6
Kapsabet,2024-09,82.6
Kapsabet,2024-10,108.5
Kapsabet,2024-11,164.4
Kapsabet,2024-12,32.9
Kericho,2022-01,67.9
Kericho,2022-02,55.2
Kericho,2022-03,29.6
Kericho,2022-04,258.2
Kericho,2022-05,200.3
Kericho,2022-06,70.5
Kericho,2022-07,78.7
Kericho,2022-08,219.1
Kericho,2022-09,191.5
Kericho,2022-10,116.10000000000001
Kericho,2022-11,172.1
Kericho,2022-12,122.5
Kericho,2023-01,3.1
Kericho,2023-02,3.7
Kericho,2023-03,237.8
Kericho,2023-04,301.2
Kericho,2023-05,81.6
Kericho,2023-06,87.3
Kericho,2023-07,63.9
Kericho,2023-08,88.3
Kericho,2023-09,175.1
Kericho,2023-10,160.8
Kericho,2023-11,365.6
Kericho,2023-12,98.9
Kericho,2024-01,143.8
Kericho,2024-02,57.3
Kericho,2024-03,75.4
Kericho,2024-04,293.0
Kericho,2024-05,166.7
Kericho,2024-06,72.5
Kericho,2024-07,112.2
Kericho,2024-08,110.0
Kericho,2024-09,108.9
Kericho,2024-10,144.3
Kericho,2024-11,308.3
Kericho,2024-12,126.1
Kerugoya,2022-01,14.8
Kerugoya,2022-02,19.2
Kerugoya,2022-03,24.1
Kerugoya,2022-04,125.3
Kerugoya,2022-05,113.7
Kerugoya,2022-06,65.1
Kerugoya,2022-07,76.6
Kerugoya,2022-08,65.7
Kerugoya,2022-09,73.0
Kerugoya,2022-10,40.4
Kerugoya,2022-11,142.0
Kerugoya,2022-12,69.3
Kerugoya,2023-01,11.9
Kerugoya,2023-02,7.9
Kerugoya,2023-03,63.3
Kerugoya,2023-04,170.4
Kerugoya,2023-05,169.9
Kerugoya,2023-06,85.5
Kerugoya,2023-07,77.8
Kerugoya,2023-08,104.3
Kerugoya,2023-09,57.0
Kerugoya,2023-10,145.1
Kerugoya,2023-11,223.29999999999998
Kerugoya,2023-12,56.4
Kerugoya,2024-01,98.5
Kerugoya,2024-02,42.3
Kerugoya,2024-03,34.2
Kerugoya,2024-04,247.0
Kerugoya,2024-05,140.70000000000002
Kerugoya,2024-06,34.3
Kerugoya,2024-07,50.1
Kerugoya,2024-08,72.7
Kerugoya,2024-09,53.4
Kerugoya,2024-10,60.4
Kerugoya,2024-11,144.79999999999998
Kerugoya,2024-12,38.3
Kiambu,2022-01,32.800000000000004
Kiambu,2022-02,22.0
Kiambu,2022-03,13.4
Kiambu,2022-04,119.4
Kiambu,2022-05,55.8
Kiambu,2022-06,19.6
Kiambu,2022-07,32.3
Kiambu,2022-08,40.4
Kiambu,2022-09,28.900000000000002
Kiambu,2022-10,30.2
Kiambu,2022-11,155.0
Kiambu,2022-12,89.2
Kiambu,2023-01,23.0
Kiambu,2023-02,1.8
Kiambu,2023-03,68.3
Kiambu,2023-04,162.4
Kiambu,2023-05,98.3
Kiambu,2023-06,33.2
Kiambu,2023-07,17.7
