time,precipitation_sum (mm),,,,,town
26/11/2022,1.4,,,,,Nairobi
27/11/2022,2,,,,,Nairobi
28/11/2022,5.6,,,,,Nairobi
29/11/2022,3.6,,,,,Nairobi
30/11/2022,4.1,,,,,Nairobi
01/12/2022,2.9,,,,,Nairobi
02/12/2022,1.9,,,,,Nairobi
03/12/2022,3.5,,,,,Nairobi
04/12/2022,2.5,,,,,Nairobi
05/12/2022,2.5,,,,,Nairobi
06/12/2022,0.6,,,,,Nairobi
07/12/2022,0.9,,,,,Nairobi
08/12/2022,3.9,,,,,Nairobi
09/12/2022,2,,,,,Nairobi
10/12/2022,2.8,,,,,Nairobi
11/12/2022,6.1,,,,,Nairobi
12/12/2022,2.8,,,,,Nairobi
13/12/2022,3,,,,,Nairobi
14/12/2022,0.4,,,,,Nairobi
15/12/2022,0.5,,,,,Nairobi
16/12/2022,1,,,,,Nairobi
17/12/2022,1.4,,,,,Nairobi
18/12/2022,0.3,,,,,Nairobi
19/12/2022,2.2,,,,,Nairobi
20/12/2022,0.6,,,,,Nairobi
21/12/2022,0.9,,,,,Nairobi
22/12/2022,0.5,,,,,Nairobi
23/12/2022,0.8,,,,,Nairobi
24/12/2022,1.1,,,,,Nairobi
25/12/2022,0.8,,,,,Nairobi
26/12/2022,0.2,,,,,Nairobi
27/12/2022,4.4,,,,,Nairobi
28/12/2022,0.2,,,,,Nairobi
29/12/2022,1.6,,,,,Nairobi
30/12/2022,0.7,,,,,Nairobi
31/12/2022,0,,,,,Nairobi
01/01/2023,0,,,,,Nairobi
02/01/2023,1.1,,,,,Nairobi
03/01/2023,4.7,,,,,Nairobi
04/01/2023,2.1,,,,,Nairobi
05/01/2023,0.5,,,,,Nairobi
06/01/2023,0,,,,,Nairobi
07/01/2023,0,,,,,Nairobi
08/01/2023,0.4,,,,,Nairobi
09/01/2023,1.4,,,,,Nairobi
10/01/2023,0.4,,,,,Nairobi
11/01/2023,0.1,,,,,Nairobi
12/01/2023,0.1,,,,,Nairobi
13/01/2023,0,,,,,Nairobi
14/01/2023,0,,,,,Nairobi
15/01/2023,0,,,,,Nairobi
16/01/2023,0,,,,,Nairobi
17/01/2023,0,,,,,Nairobi
18/01/2023,0,,,,,Nairobi
19/01/2023,0,,,,,Nairobi
20/01/2023,0,,,,,Nairobi
21/01/2023,0,,,,,Nairobi
22/01/2023,0,,,,,Nairobi
23/01/2023,0.2,,,,,Nairobi
24/01/2023,0,,,,,Nairobi
25/01/2023,0,,,,,Nairobi
26/01/2023,0,,,,,Nairobi
27/01/2023,0,,,,,Nairobi
28/01/2023,0,,,,,Nairobi
29/01/2023,0,,,,,Nairobi
30/01/2023,0,,,,,Nairobi
31/01/2023,0,,,,,Nairobi
01/02/2023,0,,,,,Nairobi
02/02/2023,0,,,,,Nairobi
03/02/2023,0,,,,,Nairobi
04/02/2023,0,,,,,Nairobi
05/02/2023,0,,,,,Nairobi
06/02/2023,0,,,,,Nairobi
07/02/2023,0,,,,,Nairobi
08/02/2023,0,,,,,Nairobi
09/02/2023,0,,,,,Nairobi
10/02/2023,0,,,,,Nairobi
11/02/2023,0,,,,,Nairobi
12/02/2023,0,,,,,Nairobi
13/02/2023,0,,,,,Nairobi
14/02/2023,0,,,,,Nairobi
15/02/2023,0,,,,,Nairobi
16/02/2023,0.2,,,,,Nairobi
17/02/2023,0,,,,,Nairobi
18/02/2023,0,,,,,Nairobi
19/02/2023,0,,,,,Nairobi
20/02/2023,0,,,,,Nairobi
21/02/2023,0,,,,,Nairobi
22/02/2023,0,,,,,Nairobi
23/02/2023,0,,,,,Nairobi
24/02/2023,0,,,,,Nairobi
25/02/2023,0,,,,,Nairobi
26/02/2023,0.1,,,,,Nairobi
27/02/2023,2.3,,,,,Nairobi
28/02/2023,0,,,,,Nairobi
01/03/2023,0,,,,,Nairobi
02/03/2023,0,,,,,Nairobi
03/03/2023,1.2,,,,,Nairobi
04/03/2023,0,,,,,Nairobi
05/03/2023,0,,,,,Nairobi
06/03/2023,0,,,,,Nairobi
07/03/2023,0,,,,,Nairobi
08/03/2023,0,,,,,Nairobi
09/03/2023,0,,,,,Nairobi
10/03/2023,0.1,,,,,Nairobi
11/03/2023,0.1,,,,,Nairobi
12/03/2023,0,,,,,Nairobi
13/03/2023,0.8,,,,,Nairobi
14/03/2023,1.5,,,,,Nairobi
15/03/2023,0.3,,,,,Nairobi
16/03/2023,2.1,,,,,Nairobi
17/03/2023,2.2,,,,,Nairobi
18/03/2023,0.1,,,,,Nairobi
19/03/2023,0.8,,,,,Nairobi
20/03/2023,0.7,,,,,Nairobi
21/03/2023,9.1,,,,,Nairobi
22/03/2023,2.6,,,,,Nairobi
23/03/2023,7.6,,,,,Nairobi
24/03/2023,7.4,,,,,Nairobi
25/03/2023,12.2,,,,,Nairobi
26/03/2023,6.5,,,,,Nairobi
27/03/2023,0.7,,,,,Nairobi
28/03/2023,2.1,,,,,Nairobi
29/03/2023,8.4,,,,,Nairobi
30/03/2023,1.5,,,,,Nairobi
31/03/2023,3,,,,,Nairobi
01/04/2023,0.4,,,,,Nairobi
02/04/2023,1.5,,,,,Nairobi
03/04/2023,3,,,,,Nairobi
04/04/2023,11.9,,,,,Nairobi
05/04/2023,3.1,,,,,Nairobi
06/04/2023,2.6,,,,,Nairobi
